review,sentiment,clean_text
The desk lamp broke after TWO days. Total waste of money!!!,negative,desk lamp broke two day total waste money
"The headphones exceeded my expectations, really well made.",positive,headphone exceeded expectation really well made
"I regret buying this headphones. Cheap materials, terrible quality.",negative,regret buying headphone cheap material terrible quality
The blender broke after TWO days. Total waste of money!!!,negative,blender broke two day total waste money
"The blender exceeded my expectations, really well made.",positive,blender exceeded expectation really well made
"I regret buying this water bottle. Cheap materials, terrible quality.",negative,regret buying water bottle cheap material terrible quality
"Honestly, the desk lamp is fantastic & the delivery was quick.",positive,honestly desk lamp fantastic delivery quick
The backpack broke after TWO days. Total waste of money!!!,negative,backpack broke two day total waste money
"Worst desk lamp I have ever bought, do NOT recommend.",negative,worst desk lamp ever bought not recommend
"Great value... the headphones works perfectly, 10/10 would recommend!",positive,great value headphone work perfectly 1010 would recommend
I absolutely LOVED the phone case!! Best purchase this year.,positive,absolutely loved phone case best purchase year
"I regret buying this desk lamp. Cheap materials, terrible quality.",negative,regret buying desk lamp cheap material terrible quality
The headphones arrived damaged & customer service ignored me.,negative,headphone arrived damaged customer service ignored
The headphones arrived damaged & customer service ignored me.,negative,headphone arrived damaged customer service ignored
"I regret buying this phone case. Cheap materials, terrible quality.",negative,regret buying phone case cheap material terrible quality
The blender broke after TWO days. Total waste of money!!!,negative,blender broke two day total waste money
"Worst headphones I have ever bought, do NOT recommend.",negative,worst headphone ever bought not recommend
The water bottle broke after TWO days. Total waste of money!!!,negative,water bottle broke two day total waste money
"Great value... the backpack works perfectly, 10/10 would recommend!",positive,great value backpack work perfectly 1010 would recommend
"The desk lamp exceeded my expectations, really well made.",positive,desk lamp exceeded expectation really well made
The backpack broke after TWO days. Total waste of money!!!,negative,backpack broke two day total waste money
Very disappointed... the backpack is nothing like the pictures.,negative,disappointed backpack nothing like picture
"Great value... the kettle works perfectly, 10/10 would recommend!",positive,great value kettle work perfectly 1010 would recommend
The kettle broke after TWO days. Total waste of money!!!,negative,kettle broke two day total waste money
"Worst water bottle I have ever bought, do NOT recommend.",negative,worst water bottle ever bought not recommend
"The phone case exceeded my expectations, really well made.",positive,phone case exceeded expectation really well made
My family is so happy with the water bottle. It's been amazing!,positive,family happy water bottle amazing
The backpack arrived damaged & customer service ignored me.,negative,backpack arrived damaged customer service ignored
"The desk lamp exceeded my expectations, really well made.",positive,desk lamp exceeded expectation really well made
The water bottle arrived damaged & customer service ignored me.,negative,water bottle arrived damaged customer service ignored
"The keyboard exceeded my expectations, really well made.",positive,keyboard exceeded expectation really well made
I absolutely LOVED the headphones!! Best purchase this year.,positive,absolutely loved headphone best purchase year
"The water bottle exceeded my expectations, really well made.",positive,water bottle exceeded expectation really well made
The water bottle arrived damaged & customer service ignored me.,negative,water bottle arrived damaged customer service ignored
The desk lamp arrived damaged & customer service ignored me.,negative,desk lamp arrived damaged customer service ignored
The headphones broke after TWO days. Total waste of money!!!,negative,headphone broke two day total waste money
"I regret buying this desk lamp. Cheap materials, terrible quality.",negative,regret buying desk lamp cheap material terrible quality
"Worst headphones I have ever bought, do NOT recommend.",negative,worst headphone ever bought not recommend
"The keyboard exceeded my expectations, really well made.",positive,keyboard exceeded expectation really well made
"Great value... the backpack works perfectly, 10/10 would recommend!",positive,great value backpack work perfectly 1010 would recommend
The desk lamp broke after TWO days. Total waste of money!!!,negative,desk lamp broke two day total waste money
"I regret buying this kettle. Cheap materials, terrible quality.",negative,regret buying kettle cheap material terrible quality
"The blender exceeded my expectations, really well made.",positive,blender exceeded expectation really well made
The blender arrived damaged & customer service ignored me.,negative,blender arrived damaged customer service ignored
"Great value... the desk lamp works perfectly, 10/10 would recommend!",positive,great value desk lamp work perfectly 1010 would recommend
"The headphones exceeded my expectations, really well made.",positive,headphone exceeded expectation really well made
My family is so happy with the headphones. It's been amazing!,positive,family happy headphone amazing
"I regret buying this backpack. Cheap materials, terrible quality.",negative,regret buying backpack cheap material terrible quality
My family is so happy with the backpack. It's been amazing!,positive,family happy backpack amazing
"Honestly, the water bottle is fantastic & the delivery was quick.",positive,honestly water bottle fantastic delivery quick
"I regret buying this kettle. Cheap materials, terrible quality.",negative,regret buying kettle cheap material terrible quality
The phone case arrived damaged & customer service ignored me.,negative,phone case arrived damaged customer service ignored
"Honestly, the keyboard is fantastic & the delivery was quick.",positive,honestly keyboard fantastic delivery quick
"The headphones exceeded my expectations, really well made.",positive,headphone exceeded expectation really well made
"Honestly, the kettle is fantastic & the delivery was quick.",positive,honestly kettle fantastic delivery quick
The headphones broke after TWO days. Total waste of money!!!,negative,headphone broke two day total waste money
The kettle broke after TWO days. Total waste of money!!!,negative,kettle broke two day total waste money
I absolutely LOVED the phone case!! Best purchase this year.,positive,absolutely loved phone case best purchase year
"The desk lamp exceeded my expectations, really well made.",positive,desk lamp exceeded expectation really well made
Very disappointed... the backpack is nothing like the pictures.,negative,disappointed backpack nothing like picture
"I regret buying this keyboard. Cheap materials, terrible quality.",negative,regret buying keyboard cheap material terrible quality
My family is so happy with the water bottle. It's been amazing!,positive,family happy water bottle amazing
I absolutely LOVED the water bottle!! Best purchase this year.,positive,absolutely loved water bottle best purchase year
My family is so happy with the keyboard. It's been amazing!,positive,family happy keyboard amazing
The headphones broke after TWO days. Total waste of money!!!,negative,headphone broke two day total waste money
"Great value... the headphones works perfectly, 10/10 would recommend!",positive,great value headphone work perfectly 1010 would recommend
"The keyboard exceeded my expectations, really well made.",positive,keyboard exceeded expectation really well made
"The desk lamp exceeded my expectations, really well made.",positive,desk lamp exceeded expectation really well made
I absolutely LOVED the keyboard!! Best purchase this year.,positive,absolutely loved keyboard best purchase year
"I regret buying this headphones. Cheap materials, terrible quality.",negative,regret buying headphone cheap material terrible quality
"Honestly, the blender is fantastic & the delivery was quick.",positive,honestly blender fantastic delivery quick
Very disappointed... the backpack is nothing like the pictures.,negative,disappointed backpack nothing like picture
My family is so happy with the kettle. It's been amazing!,positive,family happy kettle amazing
The backpack broke after TWO days. Total waste of money!!!,negative,backpack broke two day total waste money
My family is so happy with the desk lamp. It's been amazing!,positive,family happy desk lamp amazing
The desk lamp arrived damaged & customer service ignored me.,negative,desk lamp arrived damaged customer service ignored
"Honestly, the keyboard is fantastic & the delivery was quick.",positive,honestly keyboard fantastic delivery quick
"Great value... the kettle works perfectly, 10/10 would recommend!",positive,great value kettle work perfectly 1010 would recommend
"I regret buying this blender. Cheap materials, terrible quality.",negative,regret buying blender cheap material terrible quality
The blender broke after TWO days. Total waste of money!!!,negative,blender broke two day total waste money
"I regret buying this backpack. Cheap materials, terrible quality.",negative,regret buying backpack cheap material terrible quality
